San Francisco ,17431,Student-Checking,1000,0,0
Los Angeles,54321,Student-Checking,1000,0,0
Goleta,12121,Student-Checking,1000,0,0
Los Angeles,41725,Interest-Checking,1000,3,0
Santa Barbara,76543,Interest-Checking,1000,3,0
Goleta,93156,Interest-Checking,1000,3,0
Santa Barbara,43942,Savings,1000,4.8,0
Los Angeles,29107,Savings,1000,4.8,0
San Francisco ,19023,Savings,1000,4.8,0
Goleta,32156,Savings,1000,4.8,0
Goleta,53027,Pocket,0,0,0
Isla Vista,43947,Pocket,0,0,0
Santa Cruz,60413,Pocket,0,0,0
Santa Barbara,67521,Pocket,0,0,0
